Exoplanet,TIC ID,Products,Period,Epochs,RA,DEC,Distance
Kepler-35 b,271040768,2,131.458,1,294.496955,46.6896733,1819.17
Kepler-36 b,350810590,2,13.86825,4,291.2501859,49.2318073,527.956
Kepler-36 c,350810590,2,16.21865,3,291.2501859,49.2318073,527.956
Kepler-37 b,164652245,1,13.36731,2,284.0592503,44.5183733,63.9207
Kepler-37 c,164652245,1,21.302,2,284.0592503,44.5183733,63.9207
Kepler-37 d,164652245,1,39.7922,1,284.0592503,44.5183733,63.9207
Kepler-38 b,158316612,1,105.599,1,286.830312,42.2791434,1174.59
Kepler-42 b,63126862,2,1.2137672,37,292.2196,44.6173667,40.0595
Kepler-42 c,63126862,2,0.45328509,97,292.2196,44.6173667,40.0595
Kepler-42 d,63126862,2,1.865169,24,292.2196,44.6173667,40.0595
Kepler-47 b,271548206,2,49.4643,1,295.2978883,46.9204303,1025.02
Kepler-47 c,271548206,2,303.227,1,295.2978883,46.9204303,1025.02
Kepler-50 b,298896336,1,7.81254,3,288.1009312,50.0336844,250.11
Kepler-50 c,298896336,1,9.37647,3,288.1009312,50.0336844,250.11
Kepler-51 b,27846348,2,45.154,1,296.4797624,49.9376486,783.831
Kepler-51 c,27846348,2,85.312,1,296.4797624,49.9376486,783.831
Kepler-51 d,27846348,2,130.194,1,296.4797624,49.9376486,783.831
Kepler-63 b,299158887,1,9.4341505,3,289.2262876,49.5482814,194.033
Kepler-65 b,121731834,1,2.15491,11,288.6887221,41.1511076,303.728
Kepler-65 c,121731834,1,5.859944,4,288.6887221,41.1511076,303.728
Kepler-65 d,121731834,1,8.13123,3,288.6887221,41.1511076,303.728
Kepler-68 b,417676622,2,5.3988,9,291.0323102,49.0402129,144.166
Kepler-68 c,417676622,2,9.6051,5,291.0323102,49.0402129,144.166
Kepler-79 b,239306681,2,13.4845,4,300.5171067,44.3815508,1020.72
Kepler-79 c,239306681,2,27.4029,2,300.5171067,44.3815508,1020.72
Kepler-79 d,239306681,2,52.0902,1,300.5171067,44.3815508,1020.72
Kepler-79 e,239306681,2,81.0659,1,300.5171067,44.3815508,1020.72
Kepler-83 b,123416515,2,9.77,5,282.2325197,43.6655662,400.409
Kepler-83 c,123416515,2,20.09,3,282.2325197,43.6655662,400.409
Kepler-83 d,123416515,2,5.169796,9,282.2325197,43.6655662,400.409
Kepler-91 b,352011875,2,6.24658,8,285.6729033,44.1167513,1294.69
Kepler-93 b,137151335,1,4.72674,5,291.4181275,38.6723124,95.9115
Kepler-96 b,169081296,2,16.2385,3,297.0698263,40.5252039,122.881
Kepler-102 b,123357864,2,5.28696,9,281.4824731,47.2078263,107.796
Kepler-102 c,123357864,2,7.07142,7,281.4824731,47.2078263,107.796
Kepler-102 d,123357864,2,10.3117,5,281.4824731,47.2078263,107.796
Kepler-102 e,123357864,2,16.1457,3,281.4824731,47.2078263,107.796
Kepler-102 f,123357864,2,27.4536,2,281.4824731,47.2078263,107.796
Kepler-122 b,122714267,1,5.766193,4,291.1118647,39.9490248,1027.45
Kepler-122 c,122714267,1,12.465988,2,291.1118647,39.9490248,1027.45
Kepler-122 d,122714267,1,21.587475,2,291.1118647,39.9490248,1027.45
Kepler-122 e,122714267,1,37.993273,1,291.1118647,39.9490248,1027.45
Kepler-122 f,122714267,1,56.268,1,291.1118647,39.9490248,1027.45
Kepler-138 b,159376971,1,10.3126,3,290.3814122,43.2930645,66.8624
Kepler-138 c,159376971,1,13.7813,2,290.3814122,43.2930645,66.8624
Kepler-138 d,159376971,1,23.0881,1,290.3814122,43.2930645,66.8624
Kepler-199 b,184090767,1,23.637604,1,295.5594278,40.236249,521.054
Kepler-199 c,184090767,1,67.093408,1,295.5594278,40.236249,521.054
Kepler-289 b,273234825,2,34.545,2,297.4653351,42.8828517,704.438
Kepler-289 c,273234825,2,125.8518,1,297.4653351,42.8828517,704.438
Kepler-289 d,273234825,2,66.0634,1,297.4653351,42.8828517,704.438
Kepler-297 b,48304302,2,38.871826,2,283.2091605,48.7776156,692.14
Kepler-297 c,48304302,2,74.920137,1,283.2091605,48.7776156,692.14
Kepler-314 b,271052158,1,2.461069,9,294.6741507,42.0756037,268.881
Kepler-314 c,271052158,1,5.960392,4,294.6741507,42.0756037,268.881
Kepler-338 b,258203303,1,13.726976,2,282.9790593,40.7844188,552.798
Kepler-338 c,258203303,1,24.310856,1,282.9790593,40.7844188,552.798
Kepler-338 d,258203303,1,44.431014,1,282.9790593,40.7844188,552.798
Kepler-338 e,258203303,1,9.341,3,282.9790593,40.7844188,552.798
Kepler-381 b,164884235,2,5.629021,8,285.1828685,43.8310283,267.323
Kepler-381 c,164884235,2,13.391635,4,285.1828685,43.8310283,267.323
Kepler-396 b,27769688,2,42.994,2,296.1328135,48.9773095,223.757
Kepler-396 c,27769688,2,88.505,1,296.1328135,48.9773095,223.757
Kepler-407 b,405688133,1,0.66931,33,286.0363025,49.6145027,338.368
Kepler-408 b,48450369,2,2.46502,18,284.7862158,48.4232622,88.7832
Kepler-409 b,270619260,2,68.9584,1,293.6792058,46.8527337,68.173
Kepler-410 A b,164458714,2,17.833648,3,283.1510448,45.1400838,147.527
Kepler-411 b,399954349,2,3.005156,15,287.6057027,49.5233937,153.676
Kepler-411 c,399954349,2,7.834435,6,287.6057027,49.5233937,153.676
Kepler-411 d,399954349,2,58.02035,1,287.6057027,49.5233937,153.676
Kepler-412 b,158170594,2,1.7208604,26,286.1103053,43.6809612,1086.24
Kepler-413 b,298969838,3,66.262,1,288.5106679,51.1624235,847.536
Kepler-431 b,123231081,1,6.803,4,281.1123072,43.2277663,486.546
Kepler-431 c,123231081,1,8.703,3,281.1123072,43.2277663,486.546
Kepler-431 d,123231081,1,11.922,2,281.1123072,43.2277663,486.546
Kepler-444 b,394172596,1,3.6001053,7,289.7528323,41.631884,36.4396
Kepler-444 c,394172596,1,4.5458841,5,289.7528323,41.631884,36.4396
Kepler-444 d,394172596,1,6.189392,4,289.7528323,41.631884,36.4396
Kepler-444 e,394172596,1,7.743493,3,289.7528323,41.631884,36.4396
Kepler-444 f,394172596,1,9.740486,3,289.7528323,41.631884,36.4396
Kepler-462 b,269263577,2,84.6866,1,299.8211502,43.8142793,596.625
Kepler-462 c,269263577,2,207.62,1,299.8211502,43.8142793,596.625
Kepler-508 b,271671025,2,25.30889748,2,295.4042546,42.9812789,324.618
Kepler-519 b,171971913,1,24.3078946,1,299.3196708,41.3847447,246.61
Kepler-538 b,28227113,2,81.73778,1,297.4865503,49.6233975,155.956
Kepler-1084 b,267749737,2,2.05333679,22,290.1019809,48.251146,405.533
Kepler-1244 b,123447592,2,3.70428172,12,282.3012505,46.5161814,1075.81
Kepler-1274 b,164781116,1,6.98152703,4,284.5936858,46.4497364,614.648
Kepler-1394 b,164527695,1,3.93766373,6,283.4532068,45.0840729,640.409
Kepler-1517 b,158555987,1,5.54608367,4,287.8072115,43.1888008,847.299
Kepler-1647 b,170344769,2,1107.5923,1,298.150057,40.6561751,1212.45
Kepler-1651 b,48353358,2,9.87863917,5,283.6282602,48.3908081,66.4074
Kepler-1661 b,164886585,2,175.06,1,285.1670927,41.9669383,410.607
L 98-59 b,307210830,10,2.2531,98,124.5328604,-68.3144658,10.6194
L 98-59 c,307210830,10,3.6904,60,124.5328604,-68.3144658,10.6194
L 98-59 d,307210830,10,7.4512,30,124.5328604,-68.3144658,10.6194
L 168-9 b,234994474,2,1.4015,32,350.0285917,-60.0657292,25.1496
LHS 1140 b,92226327,2,24.736959,2,11.248632,-15.2741085,14.9861
LHS 1140 c,92226327,2,3.777931,12,11.248632,-15.2741085,14.9861
LHS 1815 b,260004324,19,3.81433,110,91.0899861,-55.3115376,29.8424
LHS 3844 b,410153553,3,0.46292913,143,340.4962038,-69.1721081,14.8846
LP 714-47 b,70899085,2,4.052037,11,64.1902212,-12.0848643,52.616
LP 791-18 b,181804752,1,0.948005,24,165.6904843,-16.4064445,26.4927
LP 791-18 c,181804752,1,4.989963,5,165.6904843,-16.4064445,26.4927
LTT 1445 A b,98796344,2,5.35882,9,45.4624781,-16.5944956,6.86929
LTT 3780 b,36724087,1,0.768448,29,154.6449033,-11.717801,21.9814
LTT 3780 c,36724087,1,12.2519,2,154.6449033,-11.717801,21.9814
LTT 9779 b,183985250,2,0.792052,56,358.6688767,-37.6282237,80.4373
Lupus-TR-3 b,153091721,1,3.91405,6,232.5774696,-42.9799461,773.409
NGTS-1 b,192826603,4,2.647298,34,82.7142134,-36.6309812,218.121
NGTS-3 A b,124778445,1,1.6753728,14,94.4447595,-35.706364,743.972
NGTS-4 b,143143769,2,1.3373508,33,89.5988945,-30.8117992,280.555
NGTS-6 b,1528696,2,0.882059,50,75.795382,-30.3994612,308.262
NGTS-11 b,54002556,1,35.45533,1,23.5214497,-14.4191493,190.422
OGLE2-TR-L9 b,466840711,2,2.4855335,18,166.9798793,-61.1462496,1627.63
OGLE-TR-111 b,465390152,2,4.0144463,11,163.324115,-61.4056976,1068.33
OGLE-TR-132 b,465144510,2,1.689868,26,162.6440933,-61.9572476,2012.62
OGLE-TR-182 b,466884459,2,3.9791,12,167.3279228,-61.0952624,2501.75
OGLE-TR-211 b,390001646,2,3.67724,12,160.0598236,-62.4555353,1515.26
PH1 b,170348142,2,138.317,1,298.2150641,39.9550863,1033.16
POTS-1 b,341694238,1,3.1606296,7,203.6087259,-66.5811639,747.959
Qatar-1 b,236887394,4,1.4200242,62,303.3818697,65.1623313,185.615
Qatar-5 b,190998418,1,2.8792319,8,7.0539375,42.0613451,367.658
Qatar-10 b,229791084,3,1.645321,40,284.4439052,69.5708373,559.068
TOI-122 b,231702397,3,5.07803,13,332.9482355,-58.946085,62.118
TOI-125 b,52368076,3,4.65382,15,23.5934253,-66.6763495,111.059
TOI-125 c,52368076,3,9.15059,8,23.5934253,-66.6763495,111.059
TOI-125 d,52368076,3,19.98,4,23.5934253,-66.6763495,111.059
TOI-132 b,89020549,2,2.1097019,21,338.3996623,-43.436872,163.678
TOI-150.01,271893367,12,5.857487,45,112.965421,-73.6060358,336.267
TOI-157 b,140691463,11,2.0845435,116,73.7014398,-76.6806061,355.683
TOI-163 b,179317684,12,4.231306,63,79.7682532,-71.8955269,411.719
TOI-169 b,183120439,3,2.2554477,30,16.7786879,-75.1989452,407.84
TOI-172 b,29857954,1,9.47725,3,316.6318791,-26.6928654,342.831
TOI-216.01,55652896,19,34.556,13,73.9800129,-63.2603301,177.945
TOI-216.02,55652896,19,17.089,25,73.9800129,-63.2603301,177.945
TOI-237 b,305048087,2,5.436098,9,353.2435381,-29.416487,38.0749
TOI-251 b,224225541,2,4.93777,9,353.0620655,-37.2558629,99.523
TOI-270 b,259377017,5,3.36008,33,68.4160804,-51.9573937,22.4793
TOI-270 c,259377017,5,5.660172,20,68.4160804,-51.9573937,22.4793
TOI-270 d,259377017,5,11.38014,10,68.4160804,-51.9573937,22.4793
TOI-421 b,94986319,3,5.19672,13,81.8532824,-14.2767404,74.7969
TOI-421 c,94986319,3,16.06819,5,81.8532824,-14.2767404,74.7969
TOI-451 b,257605131,3,1.858703,36,62.966385,-37.93973,123.739
TOI-451 c,257605131,3,9.192522,8,62.966385,-37.93973,123.739
TOI-451 d,257605131,3,16.364988,5,62.966385,-37.93973,123.739
TOI-481 b,339672028,8,10.33111,17,110.5126861,-57.384998,179.366
TOI-540 b,200322593,5,1.2391491,89,76.3096949,-47.9375391,14.0022
TOI-561 b,377064495,1,0.446578,50,148.1851516,6.216103,85.799
TOI-561 c,377064495,1,10.779,3,148.1851516,6.216103,85.799
TOI-561 d,377064495,1,25.62,1,148.1851516,6.216103,85.799
TOI-561 e,377064495,1,77.23,1,148.1851516,6.216103,85.799
TOI-564 b,1003831,1,1.651144,14,130.2951535,-16.0363275,199.581
TOI-677 b,280206394,2,11.2366,4,144.1193594,-50.4630933,141.812
TOI-700 b,150428135,16,9.97702,36,97.0957165,-65.5786149,31.1265
TOI-700 c,150428135,16,16.05111,22,97.0957165,-65.5786149,31.1265
TOI-700 d,150428135,16,37.42475,10,97.0957165,-65.5786149,31.1265
TOI-776 b,306996324,1,8.24661,3,178.577997,-37.5533568,27.1701
TOI-776 c,306996324,1,15.6653,2,178.577997,-37.5533568,27.1701
TOI-813 b,55525572,16,83.8911,5,72.6940102,-60.9054608,263.145
TOI-824 b,193641523,2,1.392978,32,222.1654705,-57.5888666,63.9262
TOI-892 b,66561343,1,10.62656,3,86.738228,-11.2353401,340.543
TOI-905 b,261867566,1,3.739494,6,227.6586754,-71.3616316,158.649
TOI-942 b,146520535,1,4.32419,6,76.6496172,-20.2456126,152.601
TOI-942 c,146520535,1,10.15643,3,76.6496172,-20.2456126,152.601
TOI-954 b,44792534,1,3.6849729,6,61.9410587,-25.2088028,238.768
TOI-1130 b,254113311,1,4.066499,6,286.3760037,-41.4376399,58.2609
TOI-1130 c,254113311,1,8.350381,3,286.3760037,-41.4376399,58.2609
TOI-1235 b,103633434,3,3.444729,20,152.2182549,69.2766204,39.6345
