Exoplanet,TIC ID,Products,Period,Epochs
WASP-144 b,207077681,1,2.2783152,10
WASP-147 b,114749636,1,4.60273,5
WASP-150 b,321668398,3,5.644207,12
WASP-153 b,157586003,1,3.332609,7
WASP-156 b,270380593,2,3.836169,12
WASP-159 b,77156657,1,3.840401,6
WASP-164 b,237320326,1,1.7771255,13
WASP-165 b,228381868,1,3.465509,7
WASP-166 b,408310006,1,5.443526,5
WASP-182 b,369455629,1,3.3769848,7
XO-3 b,8400842,1,3.1915239,7
XO-4 b,51234631,1,4.12473,6
XO-6 b,138168780,3,3.7650007,18
XO-7 b,268403451,2,2.8641424,16
pi Men c,261136679,9,6.26784,32
