Exoplanet,P,Perr,t0,t0err,a/r*,aerr,rp,rperr,inc,incerr,ecc,eccerr,w,werr,Date,Transits
TOI-172 b,9.47697728251463,8.55836875182051E-05,2458345.87253334,0.006504013149642,11.0253620090675,0.10030175184956,0.091522456838212,0.001237287708604,0.054652177851432,0.000602627341669,88.0624705358331,0.45289921748384,0.381113545996896,0.003916624264719,20-Jan-2021 22:21:11,
TOI-251 b,4.93919339031306,0.000201042487817,2458357.31013665,0.000844914370078,13.2002722540757,0.130283368943963,0.056476439237097,0.000793512939787,0.024556009719223,0.000181898422889,87.0158404184588,0.092992165995437,0,0,21-Jan-2021 11:40:54,8
TOI-677 b,11.2366391413853,8.41746843149318E-05,2458547.47741507,0.00021901257178,17.9992939028227,0.152060031924296,0.104631408769391,0.001369714976317,0.09270281012134,0.000304416764194,86.148197392801,0.070155808188363,0.443735263936564,0.0042272573006,24-Jan-2021 02:15:54,5
TrES-2 b,2.47066410655467,3.26662424297818E-06,2454969.40352053,0.00270184051544,7.85716661472441,0.074245092840242,0.036188154796992,0.000497886618965,0.118546368571809,0.006910301647929,82.5666575173775,0.105973883418495,1.67394627618754E-05,1.68177354623261E-07,21-Jan-2021 00:51:47,
WASP-127 b,4.17809149777638,2.97655611158334E-05,2457808.60352668,0.005326394585523,8.13073884093031,0.069582265570016,0.051297920194607,0.000675182957372,0.100095699469889,0.000245882814302,89.2180999103895,0.417414466675573,0,0,22-Jan-2021 08:56:49,4
WASP-127 b,4.17806496031414,3.00171728346433E-05,2457808.60831271,0.005380799981312,8.12980869384098,0.070115010962429,0.051292051772058,0.000677328757119,0.099957717681308,0.000248722222068,89.2355929932472,0.352199965968554,0,0,21-Jan-2021 05:09:00,4
WASP-127 b,4.1780337228616,3.01730837475419E-05,2457808.61391625,0.005404049640773,8.04669486544107,0.068206355062387,0.050767675498297,0.000665517540015,0.100340281812151,0.000239598808162,88.718113364187,0.310893909446321,0,0,24-Jan-2021 19:41:42,4
WASP-130 b,11.5510229823799,4.18629517289688E-05,2456921.1411236,0.006142090369877,23.1421197312632,0.227627661822862,0.103316803353126,0.001449194135327,0.09772531894799,0.000500555381861,88.8040895188836,0.213173327217867,0,0,25-Jan-2021 20:51:32,2
WASP-131 b,5.32202900211292,1.90738469143621E-05,2456919.82420675,0.006060906335329,8.68330126891078,0.088444574499138,0.061783554650255,0.000881896799496,0.08015804210987,0.000282706284715,85.3620400864262,0.098430719382415,0,0,25-Jan-2021 20:23:07,4
WASP-132 b,7.13354995353841,2.28951698390292E-05,2456698.20336359,0.006135466926807,19.5409652076518,0.12370191662679,0.067247218019881,0.000795889585533,0.12492984443495,0.000556377017748,90.1137928267128,0.297816743341212,0,0,25-Jan-2021 19:20:46,2
WASP-139 b,5.9242673828931,2.20915900559541E-06,2457196.79754781,0.000600953431361,16.232312832838,0.162021159627685,0.060390271519047,0.000853253390441,0.101253190946471,0.000353963280668,88.6790085629398,0.358486529820535,0,0,21-Jan-2021 08:24:00,17
WASP-139 b,5.92426792223905,2.22702112167161E-06,2457196.79705847,0.000594614053566,16.1709051349755,0.163823808650175,0.060161811928263,0.000856397869176,0.101226797871415,0.000345823014037,88.6505506902121,0.47709016710837,0,0,25-Jan-2021 18:55:41,17
