Exoplanet,TIC ID,Period,Semi-Major Axis,Radius (J),Mass (E),Mass (J),Eccentricity,TTV Flag,Temperature (Star),Radius (Star),Mass (Star),Metallicity (Star),Logg (Star),Transit Mid Point,Transit Duration,Temperature Error (Star),Radius Error (Star),Metallicity Error (Star),Logg Error,Inclination,Periastron,Right Ascension,Declination,Galactic Lattitude,Galactic Longitude,Distance (pc),Parallax (mas),TESS Magnitude,Period Error,Transit Mid Point Error,Semi Major Axis Error,Planet Radius Error (J),Inclination Error,Periastron Error,Eccentricity Error,Archive,Transits,Date,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Archive Used,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
Kepler-1152 b,,1.64680191,0.0223609,0.078,,,0.0,,3964.0,0.53,0.55,-0.25,4.73,2454965.061,,46.47,0.03,0.136,0.02,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1152 b,,1.64680191,,0.078,,,,,3964.0,0.53,0.55,-0.25,,,,46.47,0.03,0.136,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1152 b,,1.64680191,,0.078,,,,,3964.0,0.53,0.55,-0.25,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1153 b,TIC 158987296,1.75583533,0.0277,0.154,3.64,0.0115,0.0,0,5470.0,0.88,0.91,0.03,4.52,2454966.15727,1.8136,75.2,0.1,0.126,0.04,75.45,,289.1471849,45.86613,15.03403,77.15097,1119.49,0.865136,15.2696,4.39e-06,0.00195,,0.019,,,,NASA,,,,,,,,,,,,
Kepler-1153 b,,1.75583533,0.0276021,0.154,,,0.0,,5470.0,0.88,0.91,0.03,4.52,2454966.157,,75.2,0.1,0.126,0.04,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1153 b,,1.75583533,,0.154,,,,,5470.0,0.88,0.91,0.03,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1153 b,,1.75583533,,0.154,,,,,5470.0,0.88,0.91,0.03,,,,75.2,0.1,0.126,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1154 b,,5.1856142,,0.209,,,,,6327.0,1.43,1.26,0.04,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1154 b,,5.1856142,0.0633282,0.209,,,0.0,,6327.0,1.43,1.26,0.04,4.23,2454965.321,,317.3,0.65,0.14,0.15,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1154 b,TIC 169561256,5.1856142,0.0631,0.209,6.08,0.0191,0.0,0,6327.0,1.43,1.26,0.04,4.23,2454965.32089,4.076,317.3,0.65,0.14,0.15,89.93,,297.4771158,39.8772345,6.8913,74.51592,1460.1,0.656697,14.3389,2.676e-05,0.00422,,0.095,,,,NASA,,,,,,,,,,,,
Kepler-1154 b,,5.1856142,,0.209,,,,,6327.0,1.43,1.26,0.04,,,,317.3,0.65,0.14,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1154 c,,8.45808312,,0.211,,,,,6327.0,1.43,1.26,0.04,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1154 c,TIC 169561256,8.45808312,0.0875,0.211,6.17,0.0194,0.0,0,6327.0,1.43,1.26,0.04,4.23,2454970.0593,3.068,317.3,0.65,0.14,0.15,87.5,,297.4771158,39.8772345,6.8913,74.51592,1460.1,0.656697,14.3389,4.757e-05,0.0044,,0.085,,,,NASA,,,,,,,,,,,,
Kepler-1154 c,,8.45808312,0.0877495,0.211,,,0.0,,6327.0,1.43,1.26,0.04,4.23,2454970.059,,317.3,0.65,0.14,0.15,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1154 c,,8.45808312,,0.211,,,,,6327.0,1.43,1.26,0.04,,,,317.3,0.65,0.14,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1155 b,,33.469743,,0.181,,,,,5842.0,1.03,1.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1155 b,,33.469743,,0.181,,,,,5842.0,1.03,1.03,0.04,,,,115.89,0.22,0.141,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1155 b,,33.469743,0.205268,0.181,,,0.0,,5842.0,1.03,1.03,0.04,4.43,2454973.151,,115.89,0.22,0.141,0.07,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1155 b,TIC 121785676,33.469743,0.2006,0.181,4.78,0.015,0.0,0,5842.0,1.03,1.03,0.04,4.43,2454973.15101,4.513,115.89,0.22,0.141,0.07,88.22,,288.8206058,39.5228712,12.64356,71.09401,1128.72,0.6585396,14.2522,0.0002003,0.00444,,0.04,,,,NASA,,,,,,,,,,,,
Kepler-1156 b,,11.89520511,,0.118,,,,,5778.0,1.0,1.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1156 b,,11.89520511,,0.118,,,,,5778.0,1.0,1.0,0.02,,,,67.42,0.09,0.096,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1156 b,,11.89520511,0.101981,0.118,,,0.0,,5778.0,1.0,1.0,0.02,4.44,2454965.89,,67.42,0.09,0.096,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1156 b,TIC 158842046,11.89520511,0.0994,0.118,2.3,0.00724,0.0,0,5778.0,1.0,1.0,0.02,4.44,2454965.88994,3.5,67.42,0.09,0.096,0.06,89.86,,288.9240901,46.0575865,15.2527,77.26857,691.331,1.41767,13.6831,6.499e-05,0.00418,,0.012,,,,NASA,,,,,,,,,,,,
Kepler-1157 b,TIC 164460347,4.45743164,0.0448,0.097,1.32,0.00416,0.0,0,4679.0,0.71,0.76,0.05,4.62,2454965.16009,2.3577,54.66,0.03,0.147,0.01,89.31,,283.1209268,43.5255701,18.12442,73.21026,342.144,2.89397,13.682,1.699e-05,0.00342,,0.004,,,,NASA,,,,,,,,,,,,
Kepler-1157 b,,4.45743164,,0.097,,,,,4679.0,0.71,0.76,0.05,,,,54.66,0.03,0.147,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1157 b,,4.45743164,,0.097,,,,,4679.0,0.71,0.76,0.05,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1157 b,,4.45743164,0.0483728,0.097,,,0.0,,4679.0,0.71,0.76,0.05,4.62,2454965.16,,54.66,0.03,0.147,0.01,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1158 b,,13.5396293,0.124667,0.209,,,0.0,,6203.0,1.95,1.41,0.18,4.01,2454976.152,,91.16,0.37,0.096,0.15,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1158 b,TIC 137557778,13.5396293,0.1246,0.209,6.08,0.0191,0.0,0,6203.0,1.95,1.41,0.18,4.01,2454976.15164,4.338,91.16,0.37,0.096,0.15,89.46,,292.2339048,41.5751832,11.19477,74.13226,1484.25,0.645076,13.1628,9.329e-05,0.00517,,0.041,,,,NASA,,,,,,,,,,,,
Kepler-1158 b,,13.5396293,,0.209,,,,,6203.0,1.95,1.41,0.18,,,,91.16,0.37,0.096,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1158 b,,13.5396293,,0.209,,,,,6203.0,1.95,1.41,0.18,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1159 b,,22.70816791,0.166307,0.211,,,0.0,,6217.0,1.28,1.19,0.04,4.3,2454966.722,,147.74,0.56,0.139,0.11,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1159 b,,22.70816791,,0.211,,,,,6217.0,1.28,1.19,0.04,,,,147.74,0.56,0.139,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1159 b,TIC 270955277,22.70816791,0.1603,0.211,6.21,0.0195,0.0,0,6217.0,1.28,1.19,0.04,4.3,2454966.72172,3.633,147.74,0.56,0.139,0.11,89.96,,294.266325,45.2042317,11.51112,78.11516,1213.71,0.795359,14.1001,9.541e-05,0.00357,,0.092,,,,NASA,,,,,,,,,,,,
Kepler-1159 b,,22.70816791,,0.211,,,,,6217.0,1.28,1.19,0.04,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1160 b,TIC 158630233,7.97034958,0.0755,0.191,5.22,0.0164,0.0,0,5519.0,0.89,0.92,0.01,4.51,2454969.55753,2.7665,61.23,0.11,0.127,0.04,89.74,,287.8793899,43.3640752,14.86112,74.40388,1077.63,0.899772,15.2965,3.122e-05,0.00342,,0.025,,,,NASA,,,,,,,,,,,,
Kepler-1160 b,,7.97034958,,0.191,,,,,5519.0,0.89,0.92,0.01,,,,61.23,0.11,0.127,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1160 b,,7.97034958,0.0759488,0.191,,,0.0,,5519.0,0.89,0.92,0.01,4.51,2454969.558,,61.23,0.11,0.127,0.04,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1160 b,,7.97034958,,0.191,,,,,5519.0,0.89,0.92,0.01,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1161 b,TIC 268390796,10.71252541,0.0784,0.19,5.18,0.0163,0.0,0,4253.0,0.57,0.59,-0.35,4.7,2454970.16618,2.7219,55.15,0.03,0.133,0.02,88.16,,299.0770621,45.4405583,8.65569,79.97169,547.726,1.79771,15.007,3.876e-05,0.00297,,0.045,,,,NASA,,,,,,,,,,,,
Kepler-1161 b,,10.71252541,0.0797661,0.19,,,0.0,,4253.0,0.57,0.59,-0.35,4.7,2454970.166,,55.15,0.03,0.133,0.02,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1161 b,,10.71252541,,0.19,,,,,4253.0,0.57,0.59,-0.35,,,,55.15,0.03,0.133,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1161 b,,10.71252541,,0.19,,,,,4253.0,0.57,0.59,-0.35,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1162 b,,32.5637069,,0.197,,,,,5390.0,0.84,0.89,-0.03,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1162 b,TIC 164522726,32.5637069,0.19,0.197,5.52,0.0174,0.0,0,5390.0,0.84,0.89,-0.03,4.54,2454996.45606,5.548,61.74,0.07,0.148,0.04,89.51,,283.2920273,45.4339813,18.67184,75.14127,940.211,1.03527,14.9515,0.0002472,0.00662,,0.045,,,,NASA,,,,,,,,,,,,
Kepler-1162 b,,32.5637069,0.191967,0.197,,,0.0,,5390.0,0.84,0.89,-0.03,4.54,2454996.456,,61.74,0.07,0.148,0.04,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1162 b,,32.5637069,,0.197,,,,,5390.0,0.84,0.89,-0.03,,,,61.74,0.07,0.148,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1163 b,TIC 406950324,6.11786898,0.0685,0.092,1.08,0.0034,0.0,0,6302.0,1.35,1.22,0.02,4.26,2454966.61609,3.47,69.67,0.23,0.079,0.08,88.22,,290.235863,50.0300654,16.02501,81.41618,478.647,2.06049,11.7557,2.808e-05,0.0039,,0.015,,,,NASA,,,,,,,,,,,,
Kepler-1163 b,,6.11786898,,0.092,,,,,6302.0,1.35,1.22,0.02,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1163 b,,6.11786898,,0.092,,,,,6302.0,1.35,1.22,0.02,,,,69.67,0.23,0.079,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1163 b,,6.11786898,0.0699509,0.092,,,0.0,,6302.0,1.35,1.22,0.02,4.26,2454966.616,,69.67,0.23,0.079,0.08,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1164 b,,3.97599768,,0.1,,,,,5183.0,0.79,0.85,-0.03,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1164 b,,3.97599768,0.0465276,0.1,,,0.0,,5183.0,0.79,0.85,-0.03,4.57,2454966.621,,80.28,0.02,0.105,0.02,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1164 b,TIC 121275496,3.97599768,0.0457,0.1,1.46,0.00459,0.0,0,5183.0,0.79,0.85,-0.03,4.57,2454966.62134,2.1411,80.28,0.02,0.105,0.02,88.57,,287.5296372,38.8945065,13.29173,70.0806,431.622,2.28804,13.5197,1.086e-05,0.0022,,0.004,,,,NASA,,,,,,,,,,,,
Kepler-1164 b,,3.97599768,,0.1,,,,,5183.0,0.79,0.85,-0.03,,,,80.28,0.02,0.105,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1165 b,,9.478522,,0.138,,,,,6080.0,1.18,1.13,0.05,,,,97.21,0.39,0.135,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1165 b,TIC 158326744,9.478522,0.0914,0.138,3.02,0.00951,0.0,0,6080.0,1.18,1.13,0.05,4.34,2454973.16662,6.223,97.21,0.39,0.135,0.09,89.46,,286.9712284,44.7082669,15.9877,75.42234,1575.2,0.605918,13.9708,5.909e-05,0.00439,,0.045,,,,NASA,,,,,,,,,,,,
Kepler-1165 b,,9.478522,0.0912977,0.138,,,0.0,,6080.0,1.18,1.13,0.05,4.34,2454973.167,,97.21,0.39,0.135,0.09,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1165 b,,9.478522,,0.138,,,,,6080.0,1.18,1.13,0.05,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1166 b,,33.2406882,,0.151,,,,,5446.0,0.86,0.9,-0.02,,,,83.15,0.1,0.143,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1166 b,,33.2406882,0.195344,0.151,,,0.0,,5446.0,0.86,0.9,-0.02,4.53,2454976.462,,83.15,0.1,0.143,0.04,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1166 b,TIC 406951266,33.2406882,0.1975,0.151,3.5,0.011,0.0,0,5446.0,0.86,0.9,-0.02,4.53,2454976.46245,4.982,83.15,0.1,0.143,0.04,89.75,,290.3484956,50.9028387,16.30356,82.28058,634.906,1.54633,13.9408,0.00028,0.00779,,0.055,,,,NASA,,,,,,,,,,,,
Kepler-1166 b,,33.2406882,,0.151,,,,,5446.0,0.86,0.9,-0.02,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1167 b,,1.00393374,,0.153,,,,,4971.0,0.75,0.79,-0.05,,,,96.57,0.04,0.163,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1167 b,,1.00393374,,0.153,,,,,4971.0,0.75,0.79,-0.05,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1167 b,,1.00393374,0.0181392,0.153,,,0.0,,4971.0,0.75,0.79,-0.05,4.6,2454965.097,,96.57,0.04,0.163,0.03,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1167 b,TIC 273875149,1.00393374,0.0175,0.153,3.57,0.0112,0.0,0,4971.0,0.75,0.79,-0.05,4.6,2454965.09731,1.4562,96.57,0.04,0.163,0.03,89.76,,298.3026595,47.6939654,10.23657,81.68674,820.905,1.19075,15.2776,2.68e-06,0.00249,,0.011,,,,NASA,,,,,,,,,,,,
Kepler-1168 b,,55.8226539,,0.223,,,,,5157.0,0.82,0.87,0.13,,,,47.04,0.04,0.152,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1168 b,TIC 158412890,55.8226539,0.2663,0.223,6.8,0.0214,0.0,0,5157.0,0.82,0.87,0.13,4.56,2455002.03641,5.493,47.04,0.04,0.152,0.03,89.98,,287.2977834,47.455488,16.82074,78.16154,752.666,1.3002,15.0158,0.0003871,0.00539,,0.016,,,,NASA,,,,,,,,,,,,
Kepler-1168 b,,55.8226539,,0.223,,,,,5157.0,0.82,0.87,0.13,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1168 b,,55.8226539,0.272889,0.223,,,0.0,,5157.0,0.82,0.87,0.13,4.56,2455002.036,,47.04,0.04,0.152,0.03,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1169 b,,6.11009134,0.0702714,0.084,,,0.0,,6191.0,1.23,1.24,0.26,4.35,2454969.913,,80.54,0.06,0.067,0.03,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1169 b,,6.11009134,,0.084,,,,,6191.0,1.23,1.24,0.26,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1169 b,TIC 271354748,6.11009134,0.0709,0.084,0.779,0.00245,0.0,0,6191.0,1.23,1.24,0.26,4.35,2454969.913,2.447,80.54,0.06,0.067,0.03,89.16,,294.9115874,46.4914718,11.69927,79.49374,522.823,1.88397,12.2748,2.806e-05,0.00371,,0.005,,,,NASA,,,,,,,,,,,,
Kepler-1169 b,,6.11009134,,0.084,,,,,6191.0,1.23,1.24,0.26,,,,80.54,0.06,0.067,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1170 b,,9.98969327,,0.215,,,,,5069.0,0.76,0.8,-0.09,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1170 b,TIC 63125460,9.98969327,0.088,0.215,6.39,0.0201,0.0,0,5069.0,0.76,0.8,-0.09,4.58,2454966.76149,3.704,120.38,0.05,0.177,0.03,89.99,,292.1685422,43.7795963,12.21294,76.12959,1050.45,0.924172,15.3012,4.242e-05,0.00348,,0.017,,,,NASA,,,,,,,,,,,,
Kepler-1170 b,,9.98969327,,0.215,,,,,5069.0,0.76,0.8,-0.09,,,,120.38,0.05,0.177,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1170 b,,9.98969327,0.0842697,0.215,,,0.0,,5069.0,0.76,0.8,-0.09,4.58,2454966.761,,120.38,0.05,0.177,0.03,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1171 b,,1.44259224,0.0291019,0.228,,,0.0,,7044.0,1.95,1.58,-0.01,4.05,2454967.072,,277.69,0.51,0.152,0.15,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1171 b,,1.44259224,,0.228,,,,,7044.0,1.95,1.58,-0.01,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1171 b,TIC 138888759,1.44259224,0.0284,0.228,7.08,0.0223,0.0,0,7044.0,1.95,1.58,-0.01,4.05,2454967.0722,3.0151,277.69,0.51,0.152,0.15,86.82,,294.9589285,38.5915968,7.96784,72.42526,573.0,1.7171,11.172,2.19e-06,0.00121,,0.061,,,,NASA,,,,,,,,,,,,
Kepler-1171 b,,1.44259224,,0.228,,,,,7044.0,1.95,1.58,-0.01,,,,277.69,0.51,0.152,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1172 b,,26.0204423,0.167139,0.285,,,0.0,,5558.0,0.89,0.92,-0.04,4.51,2454987.525,,144.94,0.11,0.145,0.05,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1172 b,,26.0204423,,0.285,,,,,5558.0,0.89,0.92,-0.04,,,,144.94,0.11,0.145,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1172 b,TIC 122507231,26.0204423,0.168,0.285,10.3,0.0325,0.0,0,5558.0,0.89,0.92,-0.04,4.51,2454987.52468,4.84,144.94,0.11,0.145,0.05,88.67,,290.4744875,37.7665499,10.72143,70.04349,1306.53,0.737585,15.3236,0.0001886,0.00622,,0.036,,,,NASA,,,,,,,,,,,,
Kepler-1172 b,,26.0204423,,0.285,,,,,5558.0,0.89,0.92,-0.04,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1173 b,TIC 275490034,0.7698536,0.0157,0.079,0.64,0.00201,0.0,0,5252.0,0.82,0.86,0.0,4.55,2454965.52142,1.0276,92.48,0.06,0.148,0.03,80.42,,293.1311803,45.6634153,12.42904,78.16899,377.06,2.62328,13.2177,1.2e-06,0.00123,,0.021,,,,NASA,,,,,,,,,,,,
Kepler-1173 b,,0.7698536,0.0156331,0.079,,,0.0,,5252.0,0.82,0.86,0.0,4.55,2454965.521,,92.48,0.06,0.148,0.03,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1173 b,,0.7698536,,0.079,,,,,5252.0,0.82,0.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1173 b,,0.7698536,,0.079,,,,,5252.0,0.82,0.86,0.0,,,,92.48,0.06,0.148,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1174 b,TIC 123408863,6.89225223,0.0732,0.142,3.15,0.00993,0.0,0,5936.0,1.04,1.04,-0.04,4.42,2454965.4643,2.4556,117.34,0.2,0.148,0.07,89.84,,281.8314296,42.298891,18.58354,71.65258,1408.75,0.680952,13.7214,2.664e-05,0.0029,,0.028,,,,NASA,,,,,,,,,,,,
Kepler-1174 b,,6.89225223,,0.142,,,,,5936.0,1.04,1.04,-0.04,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1174 b,,6.89225223,0.0718111,0.142,,,0.0,,5936.0,1.04,1.04,-0.04,4.42,2454965.464,,117.34,0.2,0.148,0.07,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1174 b,,6.89225223,,0.142,,,,,5936.0,1.04,1.04,-0.04,,,,117.34,0.2,0.148,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1175 b,,37.94563,,0.267,,,,,5453.0,0.86,0.9,-0.04,,,,66.21,0.07,0.153,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1175 b,,37.94563,,0.267,,,,,5453.0,0.86,0.9,-0.04,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1175 b,TIC 158986028,37.94563,0.2181,0.267,9.22,0.029,0.0,0,5453.0,0.86,0.9,-0.04,4.53,2454967.78267,4.025,66.21,0.07,0.153,0.04,89.79,,289.1426847,46.8129656,15.41495,78.04933,1121.89,0.863916,15.4099,0.0001732,0.00384,,0.024,,,,NASA,,,,,,,,,,,,
Kepler-1175 b,,37.94563,0.213368,0.267,,,0.0,,5453.0,0.86,0.9,-0.04,4.53,2454967.783,,66.21,0.07,0.153,0.04,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1176 b,,24.1738579,,0.219,,,,,5844.0,1.02,1.01,-0.01,,,,264.61,0.26,0.138,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1176 b,TIC 273582656,24.1738579,0.1589,0.219,6.57,0.0207,0.0,0,5844.0,1.02,1.01,-0.01,4.42,2454968.62444,3.057,264.61,0.26,0.138,0.09,89.76,,297.919724,45.2742038,9.27858,79.41623,864.699,1.12865,14.5186,0.0001336,0.00473,,0.056,,,,NASA,,,,,,,,,,,,
Kepler-1176 b,,24.1738579,,0.219,,,,,5844.0,1.02,1.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1176 b,,24.1738579,0.164164,0.219,,,0.0,,5844.0,1.02,1.01,-0.01,4.42,2454968.624,,264.61,0.26,0.138,0.09,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1177 b,,106.247547,,0.17,,,,,5712.0,0.97,0.98,0.02,,,,62.98,0.07,0.096,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1177 b,,106.247547,,0.17,,,,,5712.0,0.97,0.98,0.02,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1177 b,,106.247547,0.436075,0.17,,,0.0,,5712.0,0.97,0.98,0.02,4.46,2454968.745,,62.98,0.07,0.096,0.05,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1177 b,TIC 399826020,106.247547,0.4301,0.17,4.27,0.0134,0.0,0,5712.0,0.97,0.98,0.02,4.46,2454968.7451,13.668,62.98,0.07,0.096,0.05,89.32,,286.6714813,49.4062964,17.92352,79.90298,1299.97,0.740452,14.0312,0.001822,0.0132,,0.014,,,,NASA,,,,,,,,,,,,
Kepler-1178 b,TIC 158729099,31.80634,0.1596,0.095,1.24,0.0039,0.0,0,4990.0,0.75,0.8,-0.05,4.59,2454983.6643,3.794,58.43,0.03,0.155,0.03,89.5,,288.4561183,45.8022258,15.45036,76.89169,482.287,2.04474,13.3643,0.0003857,0.0104,,0.005,,,,NASA,,,,,,,,,,,,
Kepler-1178 b,,31.80634,,0.095,,,,,4990.0,0.75,0.8,-0.05,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1178 b,,31.80634,0.182381,0.095,,,0.0,,4990.0,0.75,0.8,-0.05,4.59,2454983.664,,58.43,0.03,0.155,0.03,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1178 b,,31.80634,,0.095,,,,,4990.0,0.75,0.8,-0.05,,,,58.43,0.03,0.155,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1179 b,TIC 164658882,2.68505749,0.0346,0.118,2.3,0.00724,0.0,0,5212.0,0.81,0.84,-0.03,4.56,2454965.60411,1.0229,65.46,0.05,0.148,0.03,86.69,,284.0974305,47.8104856,18.96181,77.70078,415.205,2.37958,13.5109,4.1e-06,0.00129,,0.008,,,,NASA,,,,,,,,,,,,
Kepler-1179 b,,2.68505749,,0.118,,,,,5212.0,0.81,0.84,-0.03,,,,65.46,0.05,0.148,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1179 b,,2.68505749,,0.118,,,,,5212.0,0.81,0.84,-0.03,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1179 b,,2.68505749,0.0356726,0.118,,,0.0,,5212.0,0.81,0.84,-0.03,4.56,2454965.604,,65.46,0.05,0.148,0.03,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1180 b,,16.8601286,,0.178,,,,,6077.0,1.14,1.09,0.0,,,,243.54,0.31,0.136,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
Kepler-1180 b,,16.8601286,,0.178,,,,,6077.0,1.14,1.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
Kepler-1180 b,,16.8601286,0.132431,0.178,,,0.0,,6077.0,1.14,1.09,0.0,4.36,2454972.846,,243.54,0.31,0.136,0.1,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
Kepler-1180 b,TIC 271966200,16.8601286,0.1246,0.178,4.62,0.0145,0.0,0,6077.0,1.14,1.09,0.0,4.36,2454972.84599,5.553,243.54,0.31,0.136,0.1,87.77,,295.8874773,43.1559952,9.52805,76.82303,1596.8,0.598893,14.5287,0.0001369,0.00771,,0.049,,,,NASA,,,,,,,,,,,,
Kepler-1181 b,,4.89337519,,0.14,,,,,6176.0,1.3,1.17,0.03,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
