Exoplanet,TIC ID,Period,Semi-Major Axis,Radius (J),Mass (E),Mass (J),Eccentricity,TTV Flag,Temperature (Star),Radius (Star),Mass (Star),Metallicity (Star),Logg (Star),Transit Mid Point,Transit Duration,Temperature Error (Star),Radius Error (Star),Metallicity Error (Star),Logg Error,Inclination,Periastron,Right Ascension,Declination,Galactic Lattitude,Galactic Longitude,Distance (pc),Parallax (mas),TESS Magnitude,Period Error,Transit Mid Point Error,Semi Major Axis Error,Planet Radius Error (J),Inclination Error,Periastron Error,Eccentricity Error,Archive,Transits,Date,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Archive Used,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
KOI 4686.01,,11.8299383,,0.14274268449666,,,0.0,,5747.0,2.431,1.365,0.26,3.802,14971.3039,,77.0,0.485,0.15,0.33,88.12,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4691.01,,3.3879165,,0.0972434538133496,,,0.0,,5702.0,1.245,0.997,0.14,4.247,14966.93645,,77.0,0.205,0.15,0.162,89.53,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4692.02,,7.6720844,,0.064234208023497,,,0.0,,5972.0,0.807,0.884,-0.54,4.57,14967.1756,,161.0,0.222,0.3,0.035,87.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4694.01,,19.2527652,,0.1106255804849114,,,0.0,,6258.0,1.046,1.102,-0.12,4.442,14977.2659,,175.0,0.335,0.25,0.054,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4698.01,,8.5275894,,0.1141941475973279,,,0.0,,6469.0,1.193,1.26,0.07,4.385,14970.2755,,158.0,0.41,0.25,0.056,89.16,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4699.01,,3.07714195,,0.0963513120352455,,,0.0,,6108.0,1.336,1.162,0.1,4.251,14966.4849,,82.0,0.237,0.15,0.125,56.21,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4700.01,,3.83488354,,0.1070570133724949,,,0.0,,5515.0,0.775,0.868,-0.26,4.592,14968.08701,,182.0,0.164,0.3,0.036,89.03,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4700.02,,66.47762,,0.1632619453930548,,,0.0,,5515.0,0.775,0.868,-0.26,4.592,15017.2673,,182.0,0.164,0.3,0.036,89.79,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4705.01,,1.4733245,,0.0918906031447248,,,0.0,,5751.0,0.921,0.834,-0.36,4.431,14965.85599,,172.0,0.248,0.3,0.12,88.58,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4709.01,,3.70858595,,0.1186548564878486,,,0.0,,5420.0,0.771,0.864,-0.2,4.596,14967.47308,,162.0,0.147,0.3,0.038,89.55,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4710.01,,9.4527721,,0.1159784311535362,,,0.0,,5973.0,0.857,0.945,-0.34,4.547,14968.7805,,160.0,0.237,0.3,0.044,86.72,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4711.01,,4.3638313,,0.0963513120352455,,,0.0,,5623.0,0.763,0.853,-0.4,4.596,14968.33772,,169.0,0.158,0.3,0.042,88.96,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4713.01,,8.7963166,,0.121331281822161,,,0.0,,5780.0,1.0,1.0,0.0,4.438,14967.3262,,,,0.0,,75.14,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4714.01,,2.049602348,,0.0963513120352455,,,0.0,,5356.0,0.78,0.872,-0.12,4.589,14965.32639,,159.0,0.133,0.3,0.035,88.16,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4715.01,,53.285584,,0.128468416046994,,,0.0,,6015.0,1.057,0.806,-0.68,4.297,15005.297,,200.0,0.302,0.3,0.236,88.98,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4716.01,,5.8943338,,0.0544206484643516,,,0.0,,5929.0,1.145,1.087,0.16,4.357,14967.10692,,71.0,0.228,0.15,0.081,89.99,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4716.02,,12.26708306,,,,,,,,,,,,14974.2841427,,,,,,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
